question_id,section,domain,response_format,difficulty_1_10,correct_answer,explanation
V2-RW-001,Reading and Writing,Information and Ideas,MCQ,8,A,"Choice A is best because it combines the two linked ideas in the report: more tree cover is associated with lower surface temperatures, and lower temperatures reduce stress on power grids. The other choices overstate the evidence or make claims the report does not make."
V2-RW-002,Reading and Writing,Information and Ideas,MCQ,7,B,"Choice B is best because the passage says warming shifts arrival dates, but improved chick survival happens only when insect hatches also shift earlier. That means food timing matters too. The other choices ignore or distort that condition."
V2-RW-003,Reading and Writing,Information and Ideas,MCQ,8,C,"Choice C is best because it reflects both parts of the sentence: the work involved long hours, yet workers still described it as more stable than farm labor. The other choices add ideas not supported by the passage or directly contradict it."
V2-RW-004,Reading and Writing,Information and Ideas,MCQ,9,A,"Choice A is best because the unequal reading times create a confounding factor. Since the groups did not spend the same amount of time reading, the study cannot isolate annotation as the definite cause of stronger recall. The other choices go beyond the information given."
V2-RW-005,Reading and Writing,Information and Ideas,MCQ,8,B,"Choice B is best because Text 1 emphasizes higher upfront costs while Text 2 emphasizes later savings. Together, they point to a trade-off between initial expense and long-term durability. The other choices are unsupported or too absolute."
V2-RW-006,Reading and Writing,Information and Ideas,MCQ,7,A,"Choice A is best because the article presents one disadvantage, lower energy density, alongside one advantage, a much longer usable life. The other choices ignore that balance or reverse the facts."
V2-RW-007,Reading and Writing,Information and Ideas,MCQ,9,B,Choice B is best because the survey shows high planned adoption but much lower expectation of staffing cuts. That directly supports the idea that many owners expect AI to be used without overall layoffs. The other choices contradict the percentages given.
V2-RW-008,Reading and Writing,Information and Ideas,MCQ,8,A,"Choice A is best because clay from a distant coastal region turning up far inland suggests some form of exchange or trade. The evidence does not support seasonal migration, exclusivity of clay type, or claims about all settlements."
V2-RW-009,Reading and Writing,Information and Ideas,MCQ,7,B,"Choice B is best because the scholar emphasizes indirect description through selected details, which encourages readers to infer broader emotional meaning. The other choices do not follow from the pattern described."
V2-RW-010,Reading and Writing,Information and Ideas,MCQ,10,C,"Choice C is best because the memo shows a conditional trade-off: more airflow increased mass, but without a temperature adjustment it also increased cracking. That means one improvement may require a complementary change to avoid a negative side effect."
V2-RW-011,Reading and Writing,Craft and Structure,MCQ,8,B,"Choice B is best. The phrase contrasts calm presentation with a strong effect on the viewer, so “disorienting” means unsettling or disturbing one’s sense of normal expectations, not merely annoying or incoherent."
V2-RW-012,Reading and Writing,Craft and Structure,MCQ,7,B,Choice B is best because the phrase “every line provisional” suggests that Rivera treated his work as open to revision. The sentence characterizes his mindset; it does not argue about the value of sketches or claim he never finished projects.
V2-RW-013,Reading and Writing,Craft and Structure,MCQ,9,B,"Choice B is best because “garage mythology” refers to the idealized story of a humble beginning, and “outgrown” implies that the company is now in a more developed, less mythologized phase. The other choices misread the figurative language."
V2-RW-014,Reading and Writing,Craft and Structure,MCQ,8,A,"Choice A is best because Text 2 adds background information showing that the mayor’s speech may oversimplify the project’s impact. It complicates, rather than merely repeats or completely disproves, Text 1."
V2-RW-015,Reading and Writing,Craft and Structure,MCQ,8,B,"Choice B is best because the author praises the theory’s elegance while also questioning whether that elegance fits messy reality. That combination signals skepticism tempered by respect, not sarcasm or indifference."
V2-RW-016,Reading and Writing,Craft and Structure,MCQ,9,B,"Choice B is best because the question sets up the paragraph’s exploration of museums serving several roles, such as education, gathering space, and record keeping. The other choices narrow or distort the paragraph’s purpose."
V2-RW-017,Reading and Writing,Craft and Structure,MCQ,7,A,Choice A is best because the description of avoiding flashiness and unnecessary jargon suggests simplicity and restraint. The other choices introduce negative or unrelated meanings not supported by the context.
V2-RW-018,Reading and Writing,Craft and Structure,MCQ,8,B,Choice B is best because “honor its own map” is a figurative way of saying the city should act consistently with its stated plans or promises. The other choices interpret “map” too literally.
V2-RW-019,Reading and Writing,Craft and Structure,MCQ,9,A,Choice A is best because the essay clearly shifts from descriptive imagery to an explanation of technique. That structural move carries the reader from an immersive scene into a more analytical discussion.
V2-RW-020,Reading and Writing,Craft and Structure,MCQ,10,C,"Choice C is best because “failed legislatively” means it did not endure as law, while “succeeded rhetorically” means its language and ideas kept influencing later discussion. The sentence contrasts legal failure with lasting conceptual impact."
V2-RW-021,Reading and Writing,Expression of Ideas,MCQ,7,B,"Choice B is best because it combines the ideas clearly and concisely while preserving the original meaning. The other choices are awkward, wordy, or grammatically weak."
V2-RW-022,Reading and Writing,Expression of Ideas,MCQ,8,B,"Choice B is best because it provides concrete examples of libraries functioning as community gathering and service spaces, directly supporting the claim. The other choices are true-sounding details but do not support that point."
V2-RW-023,Reading and Writing,Expression of Ideas,MCQ,8,C,"Choice C is best because the sentence contrasts a benefit indoors with a drawback outdoors. “However” clearly signals that contrast. The other transitions indicate example, similarity, or result rather than opposition."
V2-RW-024,Reading and Writing,Expression of Ideas,MCQ,9,B,Choice B is best because it accurately combines the most relevant notes and directly highlights early growth. The other choices are vague or include only partial information.
V2-RW-025,Reading and Writing,Expression of Ideas,MCQ,7,C,Choice C is best because the sentence about wall color is unrelated to the paragraph’s focus on calibration and data collection. Effective revision keeps only details that advance the paragraph’s purpose.
V2-RW-026,Reading and Writing,Expression of Ideas,MCQ,8,C,Choice C is best because it synthesizes the paragraph’s argument and broadens its significance in a logical concluding way. The other choices are background details or off-topic observations rather than conclusions.
V2-RW-027,Reading and Writing,Expression of Ideas,MCQ,8,A,Choice A is best because it keeps all the important information while reducing clutter and making the sentence easier to follow. The other choices are awkward or grammatically flawed.
V2-RW-028,Reading and Writing,Expression of Ideas,MCQ,9,B,"Choice B is best because it replaces a vague comparison with a specific, measurable one. Precision strengthens writing by giving readers clear evidence rather than unsupported generalities."
V2-RW-029,Reading and Writing,Expression of Ideas,MCQ,9,C,"Choice C is best because “these practical benefits” clearly refers to the just-mentioned advantages, such as reduced runoff and insulation. Placing the sentence there creates a logical cause-and-effect progression."
V2-RW-030,Reading and Writing,Expression of Ideas,MCQ,10,B,"Choice B is best because it directly challenges the “lone visionary” idea and provides specific evidence of collaboration. The other choices may be relevant background, but they do not make the intended point."
V2-RW-031,Reading and Writing,Standard English Conventions,MCQ,7,C,"Choice C is best because the sentence describes completed past actions (“published”), so the verb should also be in the simple past: “wrote.”"
V2-RW-032,Reading and Writing,Standard English Conventions,MCQ,8,A,"Choice A is best because the subject is singular, “The sculpture.” The phrase “along with several preparatory sketches” does not change the subject’s number, so the singular verb “was sold” is required."
V2-RW-033,Reading and Writing,Standard English Conventions,MCQ,8,B,"Choice B is best because it maintains parallel structure: “reviewed,” “revised,” and “reorganized” are all past-tense verbs in the same series."
V2-RW-034,Reading and Writing,Standard English Conventions,MCQ,9,C,"Choice C is best because the sentence needs a coordinating idea showing result: “so the hikers reached the ridge before sunset.” “Therefore” would require different punctuation, and “which” creates a fragment."
V2-RW-035,Reading and Writing,Standard English Conventions,MCQ,8,C,"Choice C is best because with “neither...nor,” the verb agrees with the nearer subject. The nearer subject is singular—“the head trainer”—so the correct verb is “was.”"
V2-RW-036,Reading and Writing,Standard English Conventions,MCQ,9,B,Choice B is best because the second clause contrasts with the first. A semicolon followed by the conjunctive adverb “however” correctly signals that contrast.
V2-RW-037,Reading and Writing,Standard English Conventions,MCQ,7,A,"Choice A is best because the possessive pronoun “its” correctly refers to “the dialogue.” “It’s” means “it is,” and the plural pronouns do not agree with the singular noun."
V2-RW-038,Reading and Writing,Standard English Conventions,MCQ,8,C,Choice C is best because the action was ongoing up to a point in the past (“By the time the guests arrived”). Past perfect progressive best captures that ongoing earlier action.
V2-RW-039,Reading and Writing,Standard English Conventions,MCQ,9,B,Choice B is best because the sentence presents a parallel series of noun phrases after the colon-like semicolon structure. “Audio recordings of whale calls” matches the structure of the previous items without unnecessary wording.
V2-RW-040,Reading and Writing,Standard English Conventions,MCQ,10,C,"Choice C is best because the sentence contains a parallel series after “to”: “reduce,” “improve,” and “expand.” The base verb “expand” maintains that parallel structure."
V2-M-001,Math,Algebra,MCQ,8,C,"Expand the right side to get (1/2)x + 3. Then subtract (1/2)x from both sides: (1/4)x − 5 = 3. Add 5 to get (1/4)x = 8, so x = 32."
V2-M-002,Math,Algebra,MCQ,9,A,"For infinitely many solutions, the two equations must be equivalent. Multiply the first equation by 2 to get 2y = 8x − 14. Therefore k = −14."
V2-M-003,Math,Algebra,MCQ,9,A,"A line parallel to 5x + 2y = 14 must have the same x- and y-coefficients, so it has form 5x + 2y = c. Substitute (2, −1): 5(2) + 2(−1) = 10 − 2 = 8, so the equation is 5x + 2y = 8."
V2-M-004,Math,Algebra,MCQ,8,B,"In C = 12 + 2.5m, the constant term 12 is the fixed monthly fee, and the coefficient 2.5 is the additional cost per movie rented."
V2-M-005,Math,Algebra,MCQ,9,B,"Multiply both sides by 10 to clear denominators: 2(2x − 3) ≤ 5(x + 4). This gives 4x − 6 ≤ 5x + 20. Subtract 4x: −6 ≤ x + 20. Subtract 20: −26 ≤ x, so x ≥ −26."
V2-M-006,Math,Algebra,MCQ,10,B,"Simplify the left side: 3x − 6 + 5 = 3x − 1. For infinitely many solutions, both sides must be identical, so 3x − 1 = 3x + t requires t = −1."
V2-M-007,Math,Algebra,MCQ,9,B,"From x − y = 1, we get x = y + 1. Substitute into 2x + 3y = 17: 2(y + 1) + 3y = 17, so 5y + 2 = 17. Then 5y = 15, so y = 3."
V2-M-008,Math,Algebra,MCQ,8,B,"The slope is (1 − 9)/(5 − 1) = −8/4 = −2. So the function decreases by 2 for each increase of 1 in x. From x = 5 to x = 8 is 3 steps, so f(8) = 1 − 2(3) = −5."
V2-M-009,Math,Algebra,SPR,9,4,"Set the expressions equal: (3/2)x + 1 = −x + 11. Add x to both sides: (5/2)x + 1 = 11. Then (5/2)x = 10, so x = 4."
V2-M-010,Math,Algebra,MCQ,10,C,"An absolute value equation |expression| = positive number can have two solutions. Here 2x − 5 = 9 or 2x − 5 = −9. Those give x = 7 and x = −2, so there are 2 real solutions."
V2-M-011,Math,Advanced Math,MCQ,9,C,"A quadratic has exactly one real solution when its discriminant is 0. For x^2 − 6x + k = 0, the discriminant is b^2 − 4ac = 36 − 4k. Set 36 − 4k = 0 to get k = 9."
V2-M-012,Math,Advanced Math,MCQ,10,B,"Factor the numerator as a difference of squares: x^2 − 25 = (x − 5)(x + 5). For x ≠ 5, the factor x − 5 cancels, leaving x + 5."
V2-M-013,Math,Advanced Math,MCQ,9,B,"Because 32 = 2^5, we set x + 1 = 5. Therefore x = 4."
V2-M-014,Math,Advanced Math,MCQ,10,C,"Complete the square: x^2 − 8x + 19 = (x − 4)^2 + 3. Since (x − 4)^2 ≥ 0, the minimum value is 3."
V2-M-015,Math,Advanced Math,MCQ,10,B,Square both sides: (x + 1/x)^2 = x^2 + 2 + 1/x^2 = 16. So x^2 + 1/x^2 = 16 − 2 = 14.
V2-M-016,Math,Advanced Math,MCQ,9,A,"Factor the polynomial: x^2 − 5x − 24 = (x − 8)(x + 3). The zeros are 8 and −3, so among the choices the correct value is −3."
V2-M-017,Math,Advanced Math,MCQ,10,B,"In vertex form y = (x − h)^2 + k, the graph shifts h units right and k units vertically. Here h = 2 and k = −7, so the graph shifts 2 units right and 7 units down."
V2-M-018,Math,Advanced Math,MCQ,10,C,First compute f(4) = 3(4) − 2 = 10. Then apply g: g(10) = 10^2 = 100.
V2-M-019,Math,Advanced Math,SPR,9,5,"Factor the quadratic: x^2 − 7x + 10 = (x − 5)(x − 2). The solutions are 5 and 2, so the larger solution is 5."
V2-M-020,Math,Advanced Math,SPR,10,-2,Substitute x = −1: h(−1) = 2(1) + (−1) − 3 = 2 − 1 − 3 = −2.
V2-M-021,Math,Problem-Solving and Data Analysis,MCQ,9,B,"Convert each mean to a total: Class A total = 20 × 78 = 1,560 and Class B total = 30 × 84 = 2,520. Combined total = 4,080. Divide by 50 students: 4,080/50 = 81.6."
V2-M-022,Math,Problem-Solving and Data Analysis,MCQ,9,C,"Let the original amounts be 5k and 2k. After adding 3 cups of sugar, the ratio becomes 5k : (2k + 3) = 5 : 3. So 3(5k) = 5(2k + 3), giving 15k = 10k + 15, so k = 3. The original flour amount is 5k = 15 cups."
V2-M-023,Math,Problem-Solving and Data Analysis,MCQ,9,C,"For five numbers, the median is the third value after the numbers are ordered. If x = 8, the ordered list is 4, 7, 8, 9, 13, and the median is 8. The other choices produce a different middle value."
V2-M-024,Math,Problem-Solving and Data Analysis,MCQ,10,B,"After a 30% reduction, the price is 100 × 0.70 = $70. After another 20% reduction, the price is 70 × 0.80 = $56."
V2-M-025,Math,Problem-Solving and Data Analysis,MCQ,9,A,Multiply the conditional percent by the overall percent: 0.40 × 0.35 = 0.14 = 14%.
V2-M-026,Math,Problem-Solving and Data Analysis,MCQ,10,C,"The car uses 5/150 = 1/30 gallon per mile. For 420 miles, it uses 420/30 = 14 gallons."
V2-M-027,Math,Problem-Solving and Data Analysis,MCQ,10,B,Substitute x = 10 into the model: y = 1.8(10) + 12 = 18 + 12 = 30.
V2-M-028,Math,Problem-Solving and Data Analysis,MCQ,10,B,"The increase was 19,260 − 18,000 = 1,260. Divide by the original population: 1,260 / 18,000 = 0.07 = 7%."
V2-M-029,Math,Problem-Solving and Data Analysis,SPR,9,28,There are 7 + 5 = 12 equal parts total. Each part is 48/12 = 4. The number of red tiles is 7 × 4 = 28.
V2-M-030,Math,Problem-Solving and Data Analysis,SPR,10,82,A mean of 85 for 5 scores means the total is 5 × 85 = 425. The known scores sum to 72 + 81 + 94 + 96 = 343. Therefore x = 425 − 343 = 82.
V2-M-031,Math,Geometry and Trigonometry,MCQ,9,B,Use the distance formula: d = √[(4 − (−2))^2 + (−3 − 5)^2] = √[6^2 + (−8)^2] = √(36 + 64) = √100 = 10.
V2-M-032,Math,Geometry and Trigonometry,MCQ,9,B,Arc length is the fraction of the full circumference determined by the central angle. So the arc length is (120/360) × 2π(6) = (1/3) × 12π = 4π.
V2-M-033,Math,Geometry and Trigonometry,MCQ,10,B,"First find the slope of the given line: (10 − 2)/(5 − 1) = 8/4 = 2. A perpendicular line has slope equal to the negative reciprocal, which is −1/2."
V2-M-034,Math,Geometry and Trigonometry,MCQ,10,B,"The angles sum to 180°, so 48 + B + C = 180. Since B = 2C, we have 48 + 2C + C = 180, so 3C = 132 and C = 44°."
V2-M-035,Math,Geometry and Trigonometry,MCQ,9,C,"The diagonal, width, and length form a right triangle. Let the length be L. Then L^2 + 5^2 = 13^2, so L^2 + 25 = 169, giving L^2 = 144 and L = 12."
V2-M-036,Math,Geometry and Trigonometry,MCQ,10,D,Volume of a cylinder is V = πr^2h = π(4^2)(9) = π(16)(9) = 144π.
V2-M-037,Math,Geometry and Trigonometry,MCQ,10,B,"In a 30°-60°-90° triangle, side lengths are in the ratio 1 : √3 : 2. If the longer leg is 6√3, then the shorter leg is 6."
V2-M-038,Math,Geometry and Trigonometry,MCQ,10,A,"A circle in standard form is (x − h)^2 + (y − k)^2 = r^2. Here x + 3 = x − (−3) and y − 4 = y − 4, so the center is (−3, 4)."
V2-M-039,Math,Geometry and Trigonometry,SPR,9,25,"Since x is the longest side, it is the hypotenuse. By the Pythagorean theorem, x^2 = 7^2 + 24^2 = 49 + 576 = 625, so x = 25."
V2-M-040,Math,Geometry and Trigonometry,SPR,10,12,"Arc length of a sector is the same fraction of the full circumference as the central angle is of 360°. A 90° sector is 1/4 of the circle, so its arc length is (1/4)(2πr) = πr/2. Set πr/2 = 6π and solve to get r = 12."
