question_id,section,domain,skill,question_type,difficulty_1_to_10,passage_or_stimulus,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,correct_answer_text,explanation,source_basis
RW-I-001,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,4,"In the last decade, several cities have planted trees along major roadways not only to improve appearance but also to lower summer surface temperatures. In one study, asphalt shaded by mature tree canopies was as much as 20 degrees cooler than nearby unshaded asphalt on the same afternoon. Researchers note that cooler pavement can last longer because repeated extreme heating contributes to cracking.",Which choice best states the main idea of the text?,Cities plant roadside trees mainly because residents prefer greener neighborhoods.,"Shaded pavement can remain cooler, suggesting that urban trees may help streets last longer.",Researchers discovered that asphalt is more sensitive to heat than concrete is.,Roadway trees should be planted only where mature canopies already exist.,B,"Shaded pavement can remain cooler, suggesting that urban trees may help streets last longer.","The text emphasizes that shading from trees cools pavement and may reduce cracking, which supports the idea that trees can help streets last longer.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-002,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,5,"For years, historians assumed that the tiny clay tablets found at the desert site were ceremonial objects because many were discovered in temples. More recently, however, scholars have noticed that the tablets list quantities of grain beside symbols for nearby villages. That pattern suggests that the tablets were used to track deliveries rather than to mark religious rituals.",Which choice best states the main idea of the text?,The tablets were probably practical records instead of purely ceremonial objects.,The tablets prove that grain was the most important crop in the region.,Most ancient temples also served as village marketplaces.,Historians now agree on the meaning of every symbol on the tablets.,A,The tablets were probably practical records instead of purely ceremonial objects.,The passage contrasts an older ceremonial interpretation with a newer record-keeping interpretation.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-003,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,3,"A marine biologist measured the number of juvenile fish living in two kinds of coastal habitat: seagrass beds and nearby rocky areas. The biologist found roughly three times as many juveniles in the seagrass beds as in the rocky areas. Because young fish are especially vulnerable to predators, the biologist argues that the dense grass likely provides shelter during an important stage of development.",Which choice best describes the function of the data in the text?,It shows that rocky habitats support more species than seagrass beds do.,It provides evidence for the claim that seagrass beds protect young fish.,It challenges the idea that juvenile fish need shelter from predators.,It demonstrates that all adult fish prefer seagrass beds.,B,It provides evidence for the claim that seagrass beds protect young fish.,The comparison in juvenile counts supports the idea that seagrass beds provide shelter.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-004,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,4,"When the novelist Amina Rahal revised her first manuscript, she removed long descriptions of each room in the main character's house. In their place, she added a few precise details—a cracked blue teacup, a window that would not close, a clock that ticked too loudly at night. Reviewers later praised the novel's setting as vivid and memorable.",Which choice best describes a relationship presented in the text?,Rahal's reviewers preferred early drafts of the novel to the final version.,Rahal's changes made the setting more effective by replacing lengthy description with selective detail.,Rahal removed descriptions because readers found the house unrealistic.,Rahal focused on the house because the plot depended on architectural accuracy.,B,Rahal's changes made the setting more effective by replacing lengthy description with selective detail.,The text links the revision choice to the praised vividness of the final setting.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-005,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,5,"Text 1: The museum's new audio guide gives visitors useful historical context, but it may also encourage them to spend more time listening than looking. Text 2: Because the guide points out details that visitors might otherwise miss, it can deepen rather than distract from observation.",Which choice best describes the relationship between the two texts?,Text 2 refutes a concern raised in Text 1.,Text 2 gives an example of the problem discussed in Text 1.,Text 1 and Text 2 offer unrelated descriptions of museum technology.,Text 1 and Text 2 agree that visitors should ignore audio guides.,A,Text 2 refutes a concern raised in Text 1.,Text 1 raises a concern; Text 2 responds by arguing the opposite.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-006,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,4,"A study of commuters in one metropolitan area found that people who bicycled to work reported higher satisfaction with their daily travel than people who drove alone. The researcher cautions, however, that the study measured only an association. It did not determine whether biking caused greater satisfaction or whether people who already enjoyed commuting were simply more likely to bike.",Which choice best states the point of the researcher's caution?,The study cannot be trusted because it included too few commuters.,The study's findings apply only to people who work in cities.,The study identified a relationship but did not prove a cause-and-effect link.,The study showed that driving alone is more efficient than biking to work.,C,The study identified a relationship but did not prove a cause-and-effect link.,The researcher distinguishes correlation from causation.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-007,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,2,"In a 2025 test of four battery designs, engineers recorded the average number of charge cycles each design completed before performance noticeably declined. Design A lasted 820 cycles, Design B 790, Design C 1,140, and Design D 805. The engineers concluded that one design showed substantially greater durability than the others.",Which choice best supports the engineers' conclusion?,"Design A, because it lasted slightly longer than Designs B and D.","Design B, because it was tested alongside three other designs.","Design C, because its cycle count was much higher than the others'.","Design D, because it performed similarly to Design A.",C,"Design C, because its cycle count was much higher than the others'.","Design C's 1,140 cycles are far above the others, supporting the conclusion.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-008,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,6,"The architect Maya Lin has said that memorials can shape how people move through space as well as what they think about. Her Vietnam Veterans Memorial, for example, gradually draws visitors below ground level before returning them to the surrounding landscape. According to the text, this design illustrates Lin's view that memorials can",Which choice most logically completes the text?,replace written history with abstract art.,guide physical experience in order to influence reflection.,be most effective when placed indoors.,honor only a single historical event at a time.,B,guide physical experience in order to influence reflection.,The example shows movement through space affecting thought and reflection.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-009,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,3,"Scientists investigating a desert plant found that its leaves open their pores mainly at night, not during the day. Because open pores allow water to escape, the researchers argue that nighttime opening helps the plant conserve moisture in the hot, dry climate.",Which choice best states the inference supported by the text?,The plant grows only in areas with cool nights.,The plant's nighttime pore opening is likely an adaptation to arid conditions.,All desert plants use the same strategy to conserve water.,The plant's pores remain closed throughout the year.,B,The plant's nighttime pore opening is likely an adaptation to arid conditions.,The researchers connect the trait to moisture conservation in a dry climate.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-010,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,1,"In a survey, 68 percent of respondents said they preferred printed maps when hiking in unfamiliar areas, while 24 percent preferred phone-based maps and 8 percent had no preference. The survey author argues that printed maps remain popular among hikers despite digital alternatives.",Which choice best describes how the survey results relate to the author's argument?,They weaken it by showing that many hikers use phones.,They support it by showing a clear majority favoring printed maps.,They complicate it by indicating that most hikers have no preference.,They refute it by demonstrating that digital tools dominate.,B,They support it by showing a clear majority favoring printed maps.,A 68 percent majority supports the claim that printed maps remain popular.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
