question_id,section,domain,skill,difficulty_1_10,correct_answer,correct_choice_text,explanation,common_trap,primary_error_tag,secondary_error_tag
RW-001,Reading and Writing,Information and Ideas,Main idea / synthesis,6,C,Adding highway lanes can produce only temporary congestion relief.,"The passage says widening roads often leads to more driving and congestion returning, so any relief is temporary.",Choice A ignores the passage's point that congestion often returns.,main_idea,overstated_claim
RW-002,Reading and Writing,Information and Ideas,Inference,7,A,Spaced review may improve retention while reducing fatigue.,The passage directly reports both stronger retention and lower fatigue for the spaced-review group.,"Choice C goes too far because the study discussed vocabulary, not all subjects.",inference,scope_shift
RW-003,Reading and Writing,Information and Ideas,Evidence support,6,B,Areas with restored oyster reefs showed lower concentrations of suspended particles.,"If restored reefs reduce suspended particles, that directly supports the claim that oysters improve water quality by filtering water.",Choice C may be true but does not show improved water quality.,evidence,relevance
RW-004,Reading and Writing,Information and Ideas,Textual relationship,7,B,suggests the pamphlets may not have originated the slogans.,"If the slogans already appeared in newspapers, then the pamphlets may not have been the source of those slogans.",Choice A confuses circulation with origin.,text_relationship,causation
RW-005,Reading and Writing,Information and Ideas,Data interpretation,7,A,The route change likely reduced average commute time for bus riders.,"The average bus commute dropped from 41 to 34 minutes while bus ridership stayed about the same, supporting the conclusion that the route change likely helped bus riders on average.",Choice D makes an unjustified claim about every route.,data_interpretation,unwarranted_precision
RW-006,Reading and Writing,Information and Ideas,Weaken the claim,8,B,The employees using the app were assigned fewer and shorter tasks during the pilot.,"If the app users had fewer and shorter tasks, their higher completion count may not reflect higher productivity caused by the app.","Choice C is about preference, not whether the app caused the result.",weaken_argument,confounding_variable
RW-007,Reading and Writing,Information and Ideas,Main purpose,6,A,To describe evidence supporting an explanation for low workshop participation,The passage presents a result—attendance increased after evening hours were added—to support the explanation that scheduling had been the real barrier.,Choice B misreads the tone; the passage is not critical.,purpose,tone
RW-008,Reading and Writing,Information and Ideas,Logical completion,7,A,Trees may help reduce urban heat even when neighborhood density is similar.,"The study compared similarly dense neighborhoods and found cooler temperatures where there was more tree cover, supporting the idea that trees can reduce urban heat.",Choice B is too absolute and not supported by the comparison.,logical_completion,overgeneralization
RW-009,Reading and Writing,Information and Ideas,Reconciling evidence,8,B,"Frequent, immediate feedback may influence behavior more than delayed summaries do.","The studies differ mainly in the timing and immediacy of feedback, so the best reconciliation is that real-time information may be more effective than monthly summaries.",Choice D is speculation not mentioned in the studies.,reconcile_evidence,unsupported_assumption
RW-010,Reading and Writing,Information and Ideas,Inference from contrast,7,B,The novelist's later prose style was influenced by concerns present in her early work.,The passage states that features in the early notebooks would later shape the prose style of the political essays.,Choice A directly contradicts the passage.,inference,contrast_misread
RW-011,Reading and Writing,Craft and Structure,Words in context,6,B,conclusive,"In context, 'authoritative' contrasts with preliminary findings and refers to something final or conclusive.",Choice C mistakes authority for popularity.,vocab_in_context,context_clue
