question_id,section,domain,question_type,difficulty_1_to_10,correct_answer,correct_answer_text,explanation
RW-I-001,Reading and Writing,Information and Ideas,MCQ,4,B,"Shaded pavement can remain cooler, suggesting that urban trees may help streets last longer.","The text emphasizes that shading from trees cools pavement and may reduce cracking, which supports the idea that trees can help streets last longer."
RW-I-002,Reading and Writing,Information and Ideas,MCQ,5,A,The tablets were probably practical records instead of purely ceremonial objects.,The passage contrasts an older ceremonial interpretation with a newer record-keeping interpretation.
RW-I-003,Reading and Writing,Information and Ideas,MCQ,3,B,It provides evidence for the claim that seagrass beds protect young fish.,The comparison in juvenile counts supports the idea that seagrass beds provide shelter.
RW-I-004,Reading and Writing,Information and Ideas,MCQ,4,B,Rahal's changes made the setting more effective by replacing lengthy description with selective detail.,The text links the revision choice to the praised vividness of the final setting.
RW-I-005,Reading and Writing,Information and Ideas,MCQ,5,A,Text 2 refutes a concern raised in Text 1.,Text 1 raises a concern; Text 2 responds by arguing the opposite.
RW-I-006,Reading and Writing,Information and Ideas,MCQ,4,C,The study identified a relationship but did not prove a cause-and-effect link.,The researcher distinguishes correlation from causation.
RW-I-007,Reading and Writing,Information and Ideas,MCQ,2,C,"Design C, because its cycle count was much higher than the others'.","Design C's 1,140 cycles are far above the others, supporting the conclusion."
RW-I-008,Reading and Writing,Information and Ideas,MCQ,6,B,guide physical experience in order to influence reflection.,The example shows movement through space affecting thought and reflection.
RW-I-009,Reading and Writing,Information and Ideas,MCQ,3,B,The plant's nighttime pore opening is likely an adaptation to arid conditions.,The researchers connect the trait to moisture conservation in a dry climate.
RW-I-010,Reading and Writing,Information and Ideas,MCQ,1,B,They support it by showing a clear majority favoring printed maps.,A 68 percent majority supports the claim that printed maps remain popular.
RW-I-011,Reading and Writing,Information and Ideas,MCQ,6,A,restaurants can adapt to changes in when customers arrive.,The text shows restaurants surviving by shifting from lunch to evening demand.
RW-I-012,Reading and Writing,Information and Ideas,MCQ,8,A,They provided evidence for a theory about unseen matter.,The final sentence explicitly says the measurements became evidence for unseen matter.
RW-I-013,Reading and Writing,Information and Ideas,MCQ,2,A,became more favorable over time.,The critics moved from dismissal to praise.
RW-I-014,Reading and Writing,Information and Ideas,MCQ,3,C,Plots with more kinds of native plants supported more pollinator species.,The argument for diversity is supported by the higher pollinator counts in the more diverse plots.
RW-C-015,Reading and Writing,Craft and Structure,MCQ,3,B,lighthearted,"The examples show humorous, imaginative language, so 'lighthearted' is the best match."
RW-C-016,Reading and Writing,Craft and Structure,MCQ,4,A,providing a memorable conclusion that reinforces the central claim,The anecdote now functions as a conclusion that echoes and reinforces the argument.
RW-C-017,Reading and Writing,Craft and Structure,MCQ,5,C,By suggesting that residents remain engaged with the festival in important ways,Text 2 acknowledges crowds but emphasizes continued resident participation.
RW-C-018,Reading and Writing,Craft and Structure,MCQ,2,C,"figuratively, to compare the fish's role to a familiar job",The fish are being compared figuratively to gardeners.
RW-C-019,Reading and Writing,Craft and Structure,MCQ,4,A,dramatic but occurring without much public attention,"'Revolution' suggests major change, while 'quiet' suggests low visibility."
