question_id,section,domain,skill,difficulty_1_10,question_type,passage_or_prompt,question,choice_a,choice_b,choice_c,choice_d,estimated_time_sec,target_score_band,source_type,correct_answer,correct_choice_text,explanation,common_trap,primary_error_tag,secondary_error_tag
RW-001,Reading and Writing,Information and Ideas,Main idea / synthesis,6,Passage analysis,"City planners once assumed that adding lanes to congested highways would permanently reduce traffic. 
Recent studies, however, suggest that widening roads often encourages more people to drive, eventually restoring congestion to earlier levels.",What is the central claim of the passage?,Widening highways usually lowers congestion for many decades.,Traffic studies should focus on public transit rather than highways.,Adding highway lanes can produce only temporary congestion relief.,Most city planners now oppose any highway expansion.,90,1450+,original_sat_style,C,Adding highway lanes can produce only temporary congestion relief.,"The passage says widening roads often leads to more driving and congestion returning, so any relief is temporary.",Choice A ignores the passage's point that congestion often returns.,main_idea,overstated_claim
RW-002,Reading and Writing,Information and Ideas,Inference,7,Passage analysis,"In a trial, students who reviewed vocabulary in spaced intervals remembered more words after four weeks than students who reviewed the same number of words in a single long session. 
The researchers noted that the spaced-review group also reported feeling less mentally fatigued.",Which inference is best supported by the passage?,Spaced review may improve retention while reducing fatigue.,Students learn vocabulary best when they study alone.,Long study sessions are ineffective for all subjects.,The spaced-review group studied for more total time.,90,1450+,original_sat_style,A,Spaced review may improve retention while reducing fatigue.,The passage directly reports both stronger retention and lower fatigue for the spaced-review group.,"Choice C goes too far because the study discussed vocabulary, not all subjects.",inference,scope_shift
RW-003,Reading and Writing,Information and Ideas,Evidence support,6,Passage analysis,A marine biologist argues that restoring oyster reefs can improve coastal water quality because oysters filter large volumes of water as they feed.,Which finding would most directly support the biologist's claim?,Tourists prefer beaches with fewer visible rocks.,Areas with restored oyster reefs showed lower concentrations of suspended particles.,Some oyster species can survive in both saltwater and brackish water.,Coastal towns often depend on fishing and tourism revenue.,90,1450+,original_sat_style,B,Areas with restored oyster reefs showed lower concentrations of suspended particles.,"If restored reefs reduce suspended particles, that directly supports the claim that oysters improve water quality by filtering water.",Choice C may be true but does not show improved water quality.,evidence,relevance
RW-004,Reading and Writing,Information and Ideas,Textual relationship,7,Passage analysis,"Historian A argues that a series of unsigned pamphlets influenced a labor movement because key slogans from the pamphlets later appeared in workers' speeches. 
Historian B counters that the slogans were already common in local newspapers before the pamphlets circulated.","If Historian B is correct, Historian B's point most directly",confirms that the pamphlets were widely read by workers.,suggests the pamphlets may not have originated the slogans.,proves the speeches were written by newspaper editors.,shows that workers preferred newspapers to pamphlets.,90,1450+,original_sat_style,B,suggests the pamphlets may not have originated the slogans.,"If the slogans already appeared in newspapers, then the pamphlets may not have been the source of those slogans.",Choice A confuses circulation with origin.,text_relationship,causation
RW-005,Reading and Writing,Information and Ideas,Data interpretation,7,Quantitative text,"A school compared average commute times before and after changing bus routes. Before the change, the average commute was 41 minutes. After the change, it was 34 minutes, while the percentage of students riding the bus remained nearly the same.",Which statement is best supported by the information?,The route change likely reduced average commute time for bus riders.,More students began walking to school after the route change.,The school should shorten the school day by seven minutes.,Students on every route experienced the same reduction in commute time.,90,1450+,original_sat_style,A,The route change likely reduced average commute time for bus riders.,"The average bus commute dropped from 41 to 34 minutes while bus ridership stayed about the same, supporting the conclusion that the route change likely helped bus riders on average.",Choice D makes an unjustified claim about every route.,data_interpretation,unwarranted_precision
RW-006,Reading and Writing,Information and Ideas,Weaken the claim,8,Passage analysis,A startup claims that its new note-taking app increases worker productivity because employees who used the app completed more tasks during a one-week pilot program than employees who did not use it.,Which additional information would most weaken the startup's claim?,Employees could customize the app's visual theme.,The employees using the app were assigned fewer and shorter tasks during the pilot.,Some employees preferred taking notes by hand.,The company plans to release a mobile version of the app.,90,1450+,original_sat_style,B,The employees using the app were assigned fewer and shorter tasks during the pilot.,"If the app users had fewer and shorter tasks, their higher completion count may not reflect higher productivity caused by the app.","Choice C is about preference, not whether the app caused the result.",weaken_argument,confounding_variable
RW-007,Reading and Writing,Information and Ideas,Main purpose,6,Passage analysis,"When a local library extended its evening hours, attendance at adult literacy workshops increased sharply. The library director now argues that scheduling, not lack of interest, had been the primary barrier to participation.",What is the main purpose of the passage?,To describe evidence supporting an explanation for low workshop participation,To criticize a library director's decision to extend evening hours,To compare literacy workshops offered by different libraries,To prove that adult literacy programs should be mandatory,90,1450+,original_sat_style,A,To describe evidence supporting an explanation for low workshop participation,The passage presents a result—attendance increased after evening hours were added—to support the explanation that scheduling had been the real barrier.,Choice B misreads the tone; the passage is not critical.,purpose,tone
RW-008,Reading and Writing,Information and Ideas,Logical completion,7,Passage analysis,Researchers studying urban heat islands found that neighborhoods with denser tree cover had lower afternoon surface temperatures than nearby areas with similar building density but less shade.,Which choice most logically completes the text?,Trees may help reduce urban heat even when neighborhood density is similar.,Building density has no effect on surface temperature.,Tree cover is easier to increase than housing supply.,Afternoon temperature is the only measure relevant to urban planning.,90,1450+,original_sat_style,A,Trees may help reduce urban heat even when neighborhood density is similar.,"The study compared similarly dense neighborhoods and found cooler temperatures where there was more tree cover, supporting the idea that trees can reduce urban heat.",Choice B is too absolute and not supported by the comparison.,logical_completion,overgeneralization
RW-009,Reading and Writing,Information and Ideas,Reconciling evidence,8,Passage analysis,"Study 1 found that households given real-time electricity-use displays reduced energy consumption by 6% over three months. 
Study 2 found no reduction after households received monthly printed summaries of electricity use.",Which statement best reconciles the findings?,Households dislike receiving any information about electricity use.,"Frequent, immediate feedback may influence behavior more than delayed summaries do.",Electricity consumption cannot be reduced through consumer choices.,The households in Study 1 probably paid lower utility rates.,90,1450+,original_sat_style,B,"Frequent, immediate feedback may influence behavior more than delayed summaries do.","The studies differ mainly in the timing and immediacy of feedback, so the best reconciliation is that real-time information may be more effective than monthly summaries.",Choice D is speculation not mentioned in the studies.,reconcile_evidence,unsupported_assumption
RW-010,Reading and Writing,Information and Ideas,Inference from contrast,7,Passage analysis,"Although the novelist is best known for her later political essays, her early notebooks show a sustained interest in color, texture, and rhythm—features that would later shape the vivid prose style of those essays.",Which inference is best supported by the passage?,The novelist abandoned all interest in aesthetics when she began writing political essays.,The novelist's later prose style was influenced by concerns present in her early work.,The early notebooks were more politically effective than the later essays.,Critics value the novelist's notebooks more than her essays.,90,1450+,original_sat_style,B,The novelist's later prose style was influenced by concerns present in her early work.,The passage states that features in the early notebooks would later shape the prose style of the political essays.,Choice A directly contradicts the passage.,inference,contrast_misread
