question_id,volume,section,domain,response_format,difficulty_1_10,question_text,your_answer,choice_A,choice_B,choice_C,choice_D
V2-RW-001,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,A city planning report notes that neighborhoods with denser tree cover tend to record lower summer surface temperatures than nearby neighborhoods with less tree cover. The report also notes that lower surface temperatures reduce strain on power grids during heat waves. Which choice best states the report’s central claim?,,Planting more trees can help cities reduce both heat intensity and peak electricity demand.,Neighborhoods with more trees always use less electricity than neighborhoods with fewer trees.,Power grids fail primarily because cities do not plant enough trees along streets.,Surface temperature is the only factor city planners should consider during heat waves.
V2-RW-002,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"Researchers tracked 200 migratory birds. In years with earlier spring warming, the birds reached nesting grounds an average of six days earlier than usual. However, chick survival improved only when insect hatches also occurred earlier. Which choice best describes the finding?",,Earlier bird arrival always increases chick survival.,"Earlier spring warming affects migration timing, but survival depends on food availability as well.",Insect hatches cause birds to migrate earlier each year.,Bird migration timing has no meaningful connection to spring temperatures.
V2-RW-003,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,"A historian writes that letters from factory workers in the 1890s often mention long hours, but they also repeatedly describe factory jobs as more stable than seasonal farm labor. Which choice best captures the historian’s point?",,Factory work was easy but emotionally draining.,Workers preferred farm labor because it required fewer hours.,Workers viewed factory labor as difficult yet relatively dependable.,Factory workers rarely discussed job conditions in personal letters.
V2-RW-004,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,9,"A study found that students who annotated digital texts remembered more factual details than students who only highlighted text. The researchers caution, however, that the two groups spent different amounts of time reading. Which choice best describes the study’s limitation?",,The study does not prove that annotation itself caused better recall.,The study shows that highlighting is always ineffective.,"The study should have measured only reading speed, not recall.",The study proves that longer passages lead to weaker memory.
V2-RW-005,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,"Text 1 argues that strict building codes raise construction costs in the short term. Text 2 argues that those same codes reduce repair costs after storms. Taken together, the texts suggest which conclusion?",,Building codes should be eliminated because they slow development.,Construction costs and long-term resilience may be in tension.,Storm damage is unrelated to building design.,Repair costs always exceed initial construction costs.
V2-RW-006,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"A science article explains that a new battery material stores less energy per gram than lithium-ion materials do, but it can be recharged far more times before degrading. Which choice best describes the article’s view of the new material?",,It offers a durability advantage despite a capacity drawback.,It is clearly inferior to lithium-ion materials in every respect.,It stores more energy and lasts longer than lithium-ion materials.,It is useful only in devices that never need recharging.
V2-RW-007,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,9,"A survey of small-business owners found that 68% planned to adopt at least one AI-assisted tool within a year. However, only 27% said they expected AI tools to reduce total staffing. Which choice is most directly supported by the survey?",,Most owners believe AI adoption requires immediate layoffs.,Many owners expect to use AI without reducing head count overall.,AI tools will replace most employees at small businesses within a year.,Only a minority of owners are interested in AI-assisted tools.
V2-RW-008,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,An archaeologist notes that pottery fragments found at an inland settlement were made from clay traced to a coastal region over 200 miles away. Which inference is best supported by this evidence?,,The settlement likely participated in long-distance exchange networks.,The settlement’s residents migrated from the coast every winter.,Coastal clay was the only kind suitable for pottery making.,All inland settlements depended on coastal merchants for food.
V2-RW-009,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"A literary scholar writes that the novel’s narrator rarely describes major events directly, instead focusing on small objects—a cracked glass, a torn sleeve, an unopened letter. According to the scholar, this pattern mainly invites readers to",,treat the narrator as fully objective and reliable.,infer larger emotional tensions from precise details.,ignore symbolism and focus only on plot.,assume the novel rejects all forms of realism.
V2-RW-010,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,10,"A lab memo states: “When the team increased airflow in the greenhouse, average tomato mass rose by 4%. But when airflow was increased without also raising nighttime temperature, fruit cracking became more common.” Which conclusion best reflects the memo?",,Increasing airflow improves yield under all greenhouse conditions.,Raising nighttime temperature reduces tomato mass.,A change that boosts one outcome may worsen another unless paired with a second adjustment.,Fruit cracking and tomato mass are unrelated variables.
V2-RW-011,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a review, a critic writes that the documentary’s opening scene is “disorienting not because it is chaotic, but because it is meticulously calm.” As used in the text, “disorienting” most nearly means",,annoying,unsettling,incoherent,predictable
V2-RW-012,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,7,"A biographer includes the sentence “For years, Rivera signed his sketches in pencil rather than ink, as though he considered every line provisional.” The sentence primarily serves to",,prove that Rivera disliked drawing in pen.,suggest a personality marked by self-revision and hesitation.,argue that sketches are more valuable than paintings.,show that Rivera worked only on unfinished projects.
V2-RW-013,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,A passage describes a start-up as having “outgrown its garage mythology.” Which choice best explains the phrase?,,The company still operates informally out of a small space.,The company has moved beyond its romanticized origin story into a more mature stage.,The company has returned to the simple values it had at launch.,The company’s founders have stopped discussing its history altogether.
V2-RW-014,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,Text 1 presents a mayor’s speech praising a river cleanup project. Text 2 is a newspaper analysis noting that pollution levels had already been declining before the project began. The relationship between the texts is best described as one in which Text 2,,supplies context that complicates Text 1’s celebratory account.,repeats Text 1’s main argument in more emotional language.,focuses on an unrelated environmental issue.,refutes the existence of any river pollution at all.
V2-RW-015,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a physics article, the author describes a proposed theory as “elegant, though perhaps too elegant for the untidy world it seeks to explain.” The author’s attitude toward the theory is best characterized as",,enthusiastic and uncritical,skeptical but respectful,dismissive and sarcastic,confused and indifferent
V2-RW-016,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,"A writer introduces a paragraph with a question—“What, after all, is a museum for?”—and then follows with examples of school tours, community meetings, and public archives. The opening question mainly helps the writer",,dismiss the importance of museums as educational spaces.,frame the discussion around multiple possible functions of museums.,signal that the paragraph will focus only on tourism revenue.,show that no one agrees on a definition of art.
V2-RW-017,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,7,"A passage refers to a scientist’s style as “spare.” In context, the passage goes on to say that her articles avoid flashy claims and unnecessary jargon. As used here, “spare” most nearly means",,minimal and restrained,cold and hostile,incomplete and careless,old-fashioned and rigid
V2-RW-018,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a speech, an activist says, “We are not asking the city for miracles. We are asking it to honor its own map.” The phrase “honor its own map” most nearly suggests that the city should",,redraw district boundaries immediately.,follow through on plans and commitments it has already made.,promote tourism with better public signage.,replace paper maps with digital ones.
V2-RW-019,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,An essay moves from describing a violin maker’s workshop in vivid sensory detail to explaining how tiny adjustments in wood thickness affect tone. This shift mainly helps the essay,,transition from scene-setting to technical explanation.,abandon its focus on craftsmanship entirely.,argue that sound quality is impossible to measure.,criticize violin makers for being overly traditional.
V2-RW-020,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,10,"A historian writes, “The reform failed legislatively but succeeded rhetorically; its language outlived its law.” Which choice best interprets the sentence?",,The reform was passed into law but soon forgotten by the public.,The reform had no impact because lawmakers rejected it.,"Even though the reform did not survive as legislation, its ideas continued to shape debate.",The reform’s supporters cared more about style than policy.
V2-RW-021,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,7,A student is revising the following sentence: “The team tested the prototype in cold weather. It then tested the prototype in heavy rain.” Which choice most effectively combines the sentences?,,"The team tested the prototype in cold weather, and it also, in heavy rain, tested it.",The prototype was tested by the team in cold weather and then in heavy rain.,"Cold weather was one condition, but heavy rain had also been a condition of testing by the team.","In cold weather, the team tested the prototype, then heavy rain was another test."
V2-RW-022,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,A paragraph argues that neighborhood libraries serve not only as places to borrow books but also as community hubs. Which sentence would best support that claim?,,Many libraries still organize books using the Dewey Decimal System.,"At one branch, weekly job-search workshops and after-school tutoring sessions regularly fill the meeting rooms.",Library buildings vary widely in age and architectural style.,Some readers prefer digital books to printed books.
V2-RW-023,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,"A writer wants to emphasize the contrast between two findings. Which transition best completes the sentence?
“Early trials showed that the coating reduced glare on indoor screens. ______, later tests found that the same coating slightly reduced outdoor visibility.”",,"For example,","Similarly,","However,","Therefore,"
V2-RW-024,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,"A student’s notes say:
• The festival began in 1984.
• It was first held in the town square.
• Attendance doubled after food vendors were added in 1987.
Which choice most effectively uses relevant information from the notes to introduce the festival’s early growth?",,The festival began in 1984 and had many visitors.,"First held in the town square in 1984, the festival expanded quickly, with attendance doubling after food vendors were added in 1987.",Food vendors are often popular features at festivals in many towns.,The town square was an important public space in the 1980s.
V2-RW-025,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,7,A paragraph about a marine research project includes the sentence “The team also painted the lab walls blue.” The paragraph otherwise focuses on equipment calibration and data collection procedures. Which choice best describes what the writer should do with the sentence?,,Keep it because it adds a vivid sensory detail related to marine life.,Keep it because it explains why the project’s measurements were accurate.,Delete it because it does not contribute to the paragraph’s focus on research methods.,Delete it because no paragraph should include visual description.
V2-RW-026,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,A writer wants to conclude a paragraph arguing that bike lanes improve city life. Which sentence would be the most effective concluding sentence?,,Bike lanes were first introduced in several European cities decades ago.,"In many cities, bike lanes are painted green or white.","By making streets safer and commuting more practical, bike lanes can benefit residents well beyond daily cyclists.",Some people enjoy biking on weekends in parks.
V2-RW-027,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,"A student wants to improve the clarity of this sentence: “The device, which was released after years of testing by engineers in several countries, many of whom specialized in battery chemistry, changed the market quickly.” Which revision is most effective?",,"After years of testing by engineers in several countries, many specializing in battery chemistry, the device was released and quickly changed the market.",The device changed the market quickly by engineers in several countries after years of testing.,Engineers in several countries changed the market quickly with the device and battery chemistry.,"Released and by engineers in several countries after years of testing, the device changed the market quickly."
V2-RW-028,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,A writer wants to make this comparison more precise: “The new processor is better than the old one.” Which revision best achieves that goal?,,The new processor is really much better than the old one.,"Compared with the previous model, the new processor completes complex image-rendering tasks 30% faster.",The new processor is better because it is newer.,"The processor is, in every possible way, better than the old one."
V2-RW-029,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,"A draft paragraph begins by describing the popularity of rooftop gardens, then explains how they reduce runoff and insulate buildings, and finally mentions that some cities offer grants to install them. Where would the sentence “Because of these practical benefits, some cities now subsidize rooftop garden projects” fit best?",,At the very beginning of the paragraph,After the sentence describing the gardens’ popularity,After the sentence explaining runoff reduction and insulation,"At the very end, after a sentence about unrelated balcony planters"
V2-RW-030,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,10,"A student is writing about an inventor. The student wants to emphasize that the inventor’s success depended on collaboration, not solitary genius. Which sentence would best accomplish that goal?",,The inventor often worked late into the night refining designs.,"Although the inventor is often celebrated as a lone visionary, archived correspondence shows that machinists, investors, and fellow experimenters all shaped the final product.",The inventor became famous after a demonstration in the capital city.,Many inventors in the nineteenth century sought patents for their work.
V2-RW-031,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,7,"The researchers published their findings, and the journal editor ______ an accompanying commentary the same week.",,write,writes,wrote,writing
V2-RW-032,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"The sculpture, along with several preparatory sketches, ______ to a private collector in 1928.",,was sold,were sold,have been sold,sell
V2-RW-033,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"To prepare for the presentation, Maya reviewed the budget figures, revised the slide deck, ______.",,and the talking points were reorganized by her,and reorganized the talking points,reorganizing the talking points,the talking points had been reorganized
V2-RW-034,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The trail climbed steadily for three miles, ______ the hikers reached the ridge before sunset.",,therefore,and,so,which
V2-RW-035,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,Neither the assistant coaches nor the head trainer ______ willing to shorten the recovery program.,,were,are,was,be
V2-RW-036,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The committee praised the proposal for its clarity; ______, several members questioned its cost assumptions.",,for example,however,in addition,as a result
V2-RW-037,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,7,"The novelist is known for characters who speak in clipped, elliptical sentences; this style gives the dialogue ______ distinct tension.",,its,it’s,their,they’re
V2-RW-038,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"By the time the guests arrived, the chef ______ the sauce for nearly three hours.",,simmered,had simmered,had been simmering,is simmering
V2-RW-039,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The archive contains maps from Peru, Kenya, and Nepal; journals from two polar expeditions; ______.",,and audio recordings of whale calls,audio recordings of whale calls,and there are audio recordings of whale calls,with audio recordings of whale calls
V2-RW-040,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,10,"The policy was intended to reduce congestion, improve air quality, and ______ access to public transit in underserved neighborhoods.",,expanding,to expand,expand,expanded
V2-M-001,SAT Harder Volume 2,Math,Algebra,MCQ,8,"If (3/4)x - 5 = (1/2)(x + 6), what is the value of x?",,24,28,32,36
V2-M-002,SAT Harder Volume 2,Math,Algebra,MCQ,9,For what value of k does the system y = 4x - 7 and 2y = 8x + k have infinitely many solutions?,,-14,-7,7,14
V2-M-003,SAT Harder Volume 2,Math,Algebra,MCQ,9,"Which equation represents the line through (2, -1) that is parallel to the line 5x + 2y = 14 ?",,5x + 2y = 8,5x + 2y = 14,2x + 5y = -1,5x - 2y = 12
V2-M-004,SAT Harder Volume 2,Math,Algebra,MCQ,8,"A streaming service charges a monthly fee modeled by C = 12 + 2.5m, where m is the number of movies rented that month. Which statement is correct?",,The service costs $2.50 per month plus $12 per movie.,The service costs $12 per month and $2.50 per movie.,The service costs $14.50 each month regardless of movies rented.,The service gives 12 free movies and then charges $2.50 per month.
V2-M-005,SAT Harder Volume 2,Math,Algebra,MCQ,9,Which inequality is equivalent to (2x - 3)/5 ≤ (x + 4)/2 ?,,x ≤ -26,x ≥ -26,x ≤ 26,x ≥ 26
V2-M-006,SAT Harder Volume 2,Math,Algebra,MCQ,10,The equation 3(x - 2) + 5 = 3x + t has infinitely many solutions for what value of t ?,,-2,-1,1,5
V2-M-007,SAT Harder Volume 2,Math,Algebra,MCQ,9,What is the value of y in the solution to the system 2x + 3y = 17 and x - y = 1 ?,,2,3,4,5
V2-M-008,SAT Harder Volume 2,Math,Algebra,MCQ,8,"For a linear function f, f(1) = 9 and f(5) = 1. What is the value of f(8)?",,-3,-5,-7,-9
V2-M-009,SAT Harder Volume 2,Math,Algebra,SPR,9,What is the x-coordinate of the solution to the system y = (3/2)x + 1 and y = -x + 11 ?,,,,,
V2-M-010,SAT Harder Volume 2,Math,Algebra,MCQ,10,How many real solutions does the equation |2x - 5| = 9 have?,,0,1,2,Infinitely many
V2-M-011,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,For what value of k does the equation x^2 - 6x + k = 0 have exactly one real solution?,,6,8,9,12
V2-M-012,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,Which expression is equivalent to (x^2 - 25)/(x - 5) for x ≠ 5 ?,,x - 5,x + 5,x^2 + 5,x + 20
V2-M-013,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,"If 2^(x+1) = 32, what is the value of x?",,3,4,5,6
V2-M-014,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,What is the minimum value of the function f(x) = x^2 - 8x + 19 ?,,1,2,3,4
V2-M-015,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,"If x + 1/x = 4, what is the value of x^2 + 1/x^2 ?",,12,14,16,18
