question_id,volume,section,domain,response_format,difficulty_1_10,question_text,choice_A,choice_B,choice_C,choice_D,correct_answer,explanation
V2-RW-001,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,A city planning report notes that neighborhoods with denser tree cover tend to record lower summer surface temperatures than nearby neighborhoods with less tree cover. The report also notes that lower surface temperatures reduce strain on power grids during heat waves. Which choice best states the report’s central claim?,Planting more trees can help cities reduce both heat intensity and peak electricity demand.,Neighborhoods with more trees always use less electricity than neighborhoods with fewer trees.,Power grids fail primarily because cities do not plant enough trees along streets.,Surface temperature is the only factor city planners should consider during heat waves.,A,"Choice A is best because it combines the two linked ideas in the report: more tree cover is associated with lower surface temperatures, and lower temperatures reduce stress on power grids. The other choices overstate the evidence or make claims the report does not make."
V2-RW-002,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"Researchers tracked 200 migratory birds. In years with earlier spring warming, the birds reached nesting grounds an average of six days earlier than usual. However, chick survival improved only when insect hatches also occurred earlier. Which choice best describes the finding?",Earlier bird arrival always increases chick survival.,"Earlier spring warming affects migration timing, but survival depends on food availability as well.",Insect hatches cause birds to migrate earlier each year.,Bird migration timing has no meaningful connection to spring temperatures.,B,"Choice B is best because the passage says warming shifts arrival dates, but improved chick survival happens only when insect hatches also shift earlier. That means food timing matters too. The other choices ignore or distort that condition."
V2-RW-003,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,"A historian writes that letters from factory workers in the 1890s often mention long hours, but they also repeatedly describe factory jobs as more stable than seasonal farm labor. Which choice best captures the historian’s point?",Factory work was easy but emotionally draining.,Workers preferred farm labor because it required fewer hours.,Workers viewed factory labor as difficult yet relatively dependable.,Factory workers rarely discussed job conditions in personal letters.,C,"Choice C is best because it reflects both parts of the sentence: the work involved long hours, yet workers still described it as more stable than farm labor. The other choices add ideas not supported by the passage or directly contradict it."
V2-RW-004,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,9,"A study found that students who annotated digital texts remembered more factual details than students who only highlighted text. The researchers caution, however, that the two groups spent different amounts of time reading. Which choice best describes the study’s limitation?",The study does not prove that annotation itself caused better recall.,The study shows that highlighting is always ineffective.,"The study should have measured only reading speed, not recall.",The study proves that longer passages lead to weaker memory.,A,"Choice A is best because the unequal reading times create a confounding factor. Since the groups did not spend the same amount of time reading, the study cannot isolate annotation as the definite cause of stronger recall. The other choices go beyond the information given."
V2-RW-005,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,"Text 1 argues that strict building codes raise construction costs in the short term. Text 2 argues that those same codes reduce repair costs after storms. Taken together, the texts suggest which conclusion?",Building codes should be eliminated because they slow development.,Construction costs and long-term resilience may be in tension.,Storm damage is unrelated to building design.,Repair costs always exceed initial construction costs.,B,"Choice B is best because Text 1 emphasizes higher upfront costs while Text 2 emphasizes later savings. Together, they point to a trade-off between initial expense and long-term durability. The other choices are unsupported or too absolute."
V2-RW-006,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"A science article explains that a new battery material stores less energy per gram than lithium-ion materials do, but it can be recharged far more times before degrading. Which choice best describes the article’s view of the new material?",It offers a durability advantage despite a capacity drawback.,It is clearly inferior to lithium-ion materials in every respect.,It stores more energy and lasts longer than lithium-ion materials.,It is useful only in devices that never need recharging.,A,"Choice A is best because the article presents one disadvantage, lower energy density, alongside one advantage, a much longer usable life. The other choices ignore that balance or reverse the facts."
V2-RW-007,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,9,"A survey of small-business owners found that 68% planned to adopt at least one AI-assisted tool within a year. However, only 27% said they expected AI tools to reduce total staffing. Which choice is most directly supported by the survey?",Most owners believe AI adoption requires immediate layoffs.,Many owners expect to use AI without reducing head count overall.,AI tools will replace most employees at small businesses within a year.,Only a minority of owners are interested in AI-assisted tools.,B,Choice B is best because the survey shows high planned adoption but much lower expectation of staffing cuts. That directly supports the idea that many owners expect AI to be used without overall layoffs. The other choices contradict the percentages given.
V2-RW-008,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,8,An archaeologist notes that pottery fragments found at an inland settlement were made from clay traced to a coastal region over 200 miles away. Which inference is best supported by this evidence?,The settlement likely participated in long-distance exchange networks.,The settlement’s residents migrated from the coast every winter.,Coastal clay was the only kind suitable for pottery making.,All inland settlements depended on coastal merchants for food.,A,"Choice A is best because clay from a distant coastal region turning up far inland suggests some form of exchange or trade. The evidence does not support seasonal migration, exclusivity of clay type, or claims about all settlements."
V2-RW-009,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,7,"A literary scholar writes that the novel’s narrator rarely describes major events directly, instead focusing on small objects—a cracked glass, a torn sleeve, an unopened letter. According to the scholar, this pattern mainly invites readers to",treat the narrator as fully objective and reliable.,infer larger emotional tensions from precise details.,ignore symbolism and focus only on plot.,assume the novel rejects all forms of realism.,B,"Choice B is best because the scholar emphasizes indirect description through selected details, which encourages readers to infer broader emotional meaning. The other choices do not follow from the pattern described."
V2-RW-010,SAT Harder Volume 2,Reading and Writing,Information and Ideas,MCQ,10,"A lab memo states: “When the team increased airflow in the greenhouse, average tomato mass rose by 4%. But when airflow was increased without also raising nighttime temperature, fruit cracking became more common.” Which conclusion best reflects the memo?",Increasing airflow improves yield under all greenhouse conditions.,Raising nighttime temperature reduces tomato mass.,A change that boosts one outcome may worsen another unless paired with a second adjustment.,Fruit cracking and tomato mass are unrelated variables.,C,"Choice C is best because the memo shows a conditional trade-off: more airflow increased mass, but without a temperature adjustment it also increased cracking. That means one improvement may require a complementary change to avoid a negative side effect."
V2-RW-011,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a review, a critic writes that the documentary’s opening scene is “disorienting not because it is chaotic, but because it is meticulously calm.” As used in the text, “disorienting” most nearly means",annoying,unsettling,incoherent,predictable,B,"Choice B is best. The phrase contrasts calm presentation with a strong effect on the viewer, so “disorienting” means unsettling or disturbing one’s sense of normal expectations, not merely annoying or incoherent."
V2-RW-012,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,7,"A biographer includes the sentence “For years, Rivera signed his sketches in pencil rather than ink, as though he considered every line provisional.” The sentence primarily serves to",prove that Rivera disliked drawing in pen.,suggest a personality marked by self-revision and hesitation.,argue that sketches are more valuable than paintings.,show that Rivera worked only on unfinished projects.,B,Choice B is best because the phrase “every line provisional” suggests that Rivera treated his work as open to revision. The sentence characterizes his mindset; it does not argue about the value of sketches or claim he never finished projects.
V2-RW-013,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,A passage describes a start-up as having “outgrown its garage mythology.” Which choice best explains the phrase?,The company still operates informally out of a small space.,The company has moved beyond its romanticized origin story into a more mature stage.,The company has returned to the simple values it had at launch.,The company’s founders have stopped discussing its history altogether.,B,"Choice B is best because “garage mythology” refers to the idealized story of a humble beginning, and “outgrown” implies that the company is now in a more developed, less mythologized phase. The other choices misread the figurative language."
V2-RW-014,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,Text 1 presents a mayor’s speech praising a river cleanup project. Text 2 is a newspaper analysis noting that pollution levels had already been declining before the project began. The relationship between the texts is best described as one in which Text 2,supplies context that complicates Text 1’s celebratory account.,repeats Text 1’s main argument in more emotional language.,focuses on an unrelated environmental issue.,refutes the existence of any river pollution at all.,A,"Choice A is best because Text 2 adds background information showing that the mayor’s speech may oversimplify the project’s impact. It complicates, rather than merely repeats or completely disproves, Text 1."
